"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"", "", "Garf", "1", "enne", "8"
"", "", "Gast", "1", "ents", "8"
"", "", "Genè", "1", "éren", "8"
"", "", "GÉNÉ", "1", "fais", "8"
"", "", "Gire", "1", "fest", "8"
"", "", "Goug", "1", "fini", "8"
"", "", "Grou", "1", "forc", "8"
"", "", "Guic", "1", "fort", "8"
"", "", "Hamm", "1", "icai", "8"
"", "", "Haut", "1", "iers", "8"
"", "", "Hell", "1", "imit", "8"
"", "", "Héro", "1", "inco", "8"
"", "", "Hers", "1", "jama", "8"
"", "", "HÔTE", "1", "mani", "8"
"", "", "Hôte", "1", "mett", "8"
"", "", "Hous", "1", "mora", "8"
"", "", "Houz", "1", "natu", "8"
"", "", "Hube", "1", "nier", "8"
"", "", "Ibse", "1", "nisa", "8"
"", "", "Impo", "1", "paix", "8"
"", "", "Inté", "1", "popu", "8"
"", "", "Japo", "1", "près", "8"
"", "", "Jard", "1", "prét", "8"
"", "", "Jarr", "1", "rait", "8"
"", "", "Jone", "1", "reus", "8"
"", "", "Jour", "1", "réus", "8"
"", "", "Juge", "1", "séna", "8"
"", "", "Juig", "1", "tien", "8"
"", "", "Jupi", "1", "visi", "8"
"", "", "Kahn", "1", "voic", "8"
"", "", "Lane", "1", "vote", "8"
"", "", "Lans", "1", "aine", "7"
"", "", "LÉGL", "1", "appe", "7"
"", "", "Legs", "1", "arge", "7"
"", "", "Leha", "1", "assi", "7"
"", "", "Leur", "1", "aucu", "7"
"", "", "LITÉ", "1", "bliq", "7"
"", "", "Loué", "1", "bonn", "7"
"", "", "Lowe", "1", "brav", "7"
"", "", "Lucé", "1", "celu", "7"
"", "", "Luci", "1", "cham", "7"
"", "", "Lute", "1", "chau", "7"
"", "", "Lyau", "1", "cinq", "7"
"", "", "Lyon", "1", "coll", "7"
"", "", "Made", "1", "droi", "7"
"", "", "Maït", "1", "ectu", "7"
"", "", "Malh", "1", "eill", "7"
"", "", "Malv", "1", "envo", "7"
"", "", "Marg", "1", "evar", "7"
"", "", "Marn", "1", "fill", "7"
"", "", "Maro", "1", "invi", "7"
"", "", "Marq", "1", "isan", "7"
"", "", "Maub", "1", "ives", "7"
"", "", "Mauv", "1", "jadi", "7"
