"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"", "", "", "", "uq", "1"
"", "", "", "", "vè", "1"
"", "", "", "", "wa", "1"
"", "", "", "", "xa", "1"
"", "", "", "", "xé", "1"
"", "", "", "", "xq", "1"
"", "", "", "", "xt", "1"
"", "", "", "", "ya", "1"
"", "", "", "", "ze", "1"
"", "", "", "", "zè", "1"
