"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"", "", "", "", "upa", "7"
"", "", "", "", "veu", "7"
"", "", "", "", "vol", "7"
"", "", "", "", "abs", "6"
"", "", "", "", "anc", "6"
"", "", "", "", "arr", "6"
"", "", "", "", "bea", "6"
"", "", "", "", "cri", "6"
"", "", "", "", "cro", "6"
"", "", "", "", "déj", "6"
"", "", "", "", "dép", "6"
"", "", "", "", "dés", "6"
"", "", "", "", "deu", "6"
"", "", "", "", "ice", "6"
"", "", "", "", "ime", "6"
"", "", "", "", "ira", "6"
"", "", "", "", "lam", "6"
"", "", "", "", "lit", "6"
"", "", "", "", "lon", "6"
"", "", "", "", "mot", "6"
"", "", "", "", "neu", "6"
"", "", "", "", "nio", "6"
"", "", "", "", "off", "6"
"", "", "", "", "omm", "6"
"", "", "", "", "oni", "6"
"", "", "", "", "pag", "6"
"", "", "", "", "pos", "6"
"", "", "", "", "pub", "6"
"", "", "", "", "ral", "6"
"", "", "", "", "rel", "6"
"", "", "", "", "réu", "6"
"", "", "", "", "rév", "6"
"", "", "", "", "sus", "6"
"", "", "", "", "tée", "6"
"", "", "", "", "teu", "6"
"", "", "", "", "tie", "6"
"", "", "", "", "toi", "6"
"", "", "", "", "trè", "6"
"", "", "", "", "tri", "6"
"", "", "", "", "uer", "6"
"", "", "", "", "ues", "6"
"", "", "", "", "uis", "6"
"", "", "", "", "upe", "6"
"", "", "", "", "vio", "6"
"", "", "", "", "vot", "6"
"", "", "", "", "vre", "6"
"", "", "", "", "aie", "5"
"", "", "", "", "alo", "5"
"", "", "", "", "ang", "5"
"", "", "", "", "ari", "5"
"", "", "", "", "avi", "5"
"", "", "", "", "cea", "5"
"", "", "", "", "dél", "5"
"", "", "", "", "dém", "5"
"", "", "", "", "dep", "5"
"", "", "", "", "der", "5"
"", "", "", "", "dig", "5"
"", "", "", "", "dra", "5"
"", "", "", "", "eff", "5"
"", "", "", "", "éra", "5"
"", "", "", "", "eve", "5"
"", "", "", "", "gen", "5"
"", "", "", "", "hab", "5"
"", "", "", "", "hie", "5"
"", "", "", "", "icl", "5"
"", "", "", "", "ill", "5"
"", "", "", "", "ini", "5"
"", "", "", "", "lac", "5"
"", "", "", "", "liè", "5"
"", "", "", "", "lis", "5"
"", "", "", "", "loi", "5"
"", "", "", "", "met", "5"
"", "", "", "", "nel", "5"
"", "", "", "", "ner", "5"
"", "", "", "", "nne", "5"
"", "", "", "", "nqu", "5"
"", "", "", "", "nti", "5"
"", "", "", "", "oir", "5"
"", "", "", "", "onn", "5"
"", "", "", "", "ord", "5"
"", "", "", "", "ose", "5"
"", "", "", "", "oue", "5"
"", "", "", "", "ouv", "5"
"", "", "", "", "pat", "5"
"", "", "", "", "pet", "5"
"", "", "", "", "por", "5"
"", "", "", "", "rat", "5"
"", "", "", "", "rch", "5"
"", "", "", "", "rer", "5"
"", "", "", "", "rev", "5"
"", "", "", "", "rio", "5"
"", "", "", "", "sac", "5"
"", "", "", "", "sim", "5"
"", "", "", "", "sol", "5"
"", "", "", "", "sor", "5"
"", "", "", "", "str", "5"
"", "", "", "", "tal", "5"
"", "", "", "", "tel", "5"
"", "", "", "", "uco", "5"
"", "", "", "", "uve", "5"
"", "", "", "", "abu", "4"
"", "", "", "", "ace", "4"
"", "", "", "", "adm", "4"
"", "", "", "", "adr", "4"
"", "", "", "", "ali", "4"
"", "", "", "", "auj", "4"
"", "", "", "", "cat", "4"
"", "", "", "", "cau", "4"
"", "", "", "", "cep", "4"
"", "", "", "", "ceu", "4"
"", "", "", "", "côt", "4"
"", "", "", "", "cru", "4"
"", "", "", "", "cti", "4"
"", "", "", "", "d'h", "4"
"", "", "", "", "den", "4"
"", "", "", "", "éco", "4"
"", "", "", "", "eil", "4"
"", "", "", "", "emp", "4"
"", "", "", "", "enn", "4"
"", "", "", "", "érê", "4"
"", "", "", "", "erv", "4"
"", "", "", "", "éte", "4"
"", "", "", "", "fer", "4"
"", "", "", "", "ger", "4"
"", "", "", "", "hér", "4"
"", "", "", "", "ica", "4"
"", "", "", "", "ici", "4"
"", "", "", "", "ier", "4"
"", "", "", "", "ifi", "4"
"", "", "", "", "imm", "4"
"", "", "", "", "inf", "4"
"", "", "", "", "inv", "4"
"", "", "", "", "its", "4"
"", "", "", "", "itu", "4"
"", "", "", "", "joi", "4"
"", "", "", "", "lèg", "4"
"", "", "", "", "lié", "4"
"", "", "", "", "lqu", "4"
"", "", "", "", "mag", "4"
"", "", "", "", "miè", "4"
"", "", "", "", "nie", "4"
"", "", "", "", "nir", "4"
"", "", "", "", "oeu", "4"
"", "", "", "", "ori", "4"
"", "", "", "", "pec", "4"
"", "", "", "", "pol", "4"
"", "", "", "", "pon", "4"
"", "", "", "", "ran", "4"
"", "", "", "", "ret", "4"
"", "", "", "", "rit", "4"
"", "", "", "", "rra", "4"
"", "", "", "", "sig", "4"
"", "", "", "", "sit", "4"
"", "", "", "", "ssa", "4"
"", "", "", "", "sti", "4"
"", "", "", "", "sub", "4"
"", "", "", "", "tém", "4"
"", "", "", "", "tié", "4"
"", "", "", "", "tiq", "4"
"", "", "", "", "tis", "4"
"", "", "", "", "ton", "4"
"", "", "", "", "tor", "4"
"", "", "", "", "tôt", "4"
"", "", "", "", "uel", "4"
"", "", "", "", "uen", "4"
"", "", "", "", "uni", "4"
"", "", "", "", "ves", "4"
"", "", "", "", "vit", "4"
"", "", "", "", "vos", "4"
"", "", "", "", "aba", "3"
"", "", "", "", "abr", "3"
"", "", "", "", "ach", "3"
"", "", "", "", "agé", "3"
"", "", "", "", "amm", "3"
"", "", "", "", "ara", "3"
"", "", "", "", "bat", "3"
"", "", "", "", "bes", "3"
"", "", "", "", "bru", "3"
"", "", "", "", "cam", "3"
"", "", "", "", "cél", "3"
"", "", "", "", "cho", "3"
"", "", "", "", "cin", "3"
"", "", "", "", "cis", "3"
"", "", "", "", "cit", "3"
